timestamp_ms,ax,ay,az,gyro_yaw,gyro_pitch,gyro_roll,gps_lat,gps_lon,gps_speed,vehicle_speed,vehicle_heading,accel_magnitude,gyro_magnitude,accel_change,gyro_change,ax_change,ay_change,az_change,gyro_yaw_change,gyro_pitch_change,gyro_roll_change,dt,predicted_speed,distance,dx,dy,predicted_x,predicted_y
4241676,-0.5945,-2.637,9.7435,-0.0348,-0.3967,0.0605,52.477814,-1.47195,6.08,30.402,26.653,10.111527654118342,0.40279297411946,0.3398451224352747,0.3872167101258061,-0.3662,-2.1139,-0.0115000000000016,-0.0194999999999999,-0.3985,0.0628,0.049,21.934570000000004,1.0747939300000002,0.9605859682533705,0.4821375214185059,0.9605859682533705,0.4821375214185059
4241727,-0.1113,-0.438,9.9126,0.0075,-0.0013,-0.0121,52.402363,-1.558198,2.18,0.0069999999999999,249.996,9.922896273266188,0.0142951040569839,-0.1886313808521542,-0.388497870062476,0.4832,2.199,0.1691000000000002,0.0423,0.3954,-0.0726,0.051,23.509640000000005,1.1989916400000002,-0.41015794891322394,-1.126654964810961,0.5504280193401465,-0.644517443392455
4241776,-0.4565,-3.0922,10.1975,-0.0397,-0.4326,0.0681,52.477814,-1.47195,6.08,30.017,26.556,10.665791078958936,0.4397231629104839,0.7428948056927478,0.4254280588534999,-0.3452,-2.6542,0.2849000000000004,-0.0472,-0.4312999999999999,0.0802,0.049,23.790999999999993,1.1657589999999998,1.042768892820399,0.5211785512155296,1.5931969121605456,-0.1233388921769254
4241827,-0.0441,-0.4237,9.8838,-0.0059,-0.0125,-0.0034,52.402363,-1.558198,2.18,0.072,249.996,9.892975737360322,0.0142344652165088,-0.7728153415986139,-0.425488697693975,0.4124,2.6685,-0.313699999999999,0.0338,0.4201,-0.0715,0.051,24.842030000000005,1.2669435300000003,-0.43340332185608865,-1.1905072317348473,1.159793590304457,-1.3138461239117727
4241876,-0.6624,-2.9781,9.5294,-0.0394,-0.4654,0.0484,52.477814,-1.47195,6.08,29.527,26.738000000000003,10.005864167077226,0.46956584202857,0.1128884297169037,0.4553313768120612,-0.6183,-2.5544,-0.3544,-0.0334999999999999,-0.4528999999999999,0.0518,0.049,20.513839999999988,1.0051781599999994,0.8976976681033156,0.4522411193410587,2.0574912584077727,-0.861605004570714
4241927,-0.1835,-0.3362,9.7728,0.0038,-0.0068,-0.0044,52.402363,-1.558198,2.18,0.0139999999999999,249.996,9.780302783145316,0.008946507698538,-0.225561383931911,-0.460619334330032,0.4789,2.6419,0.2433999999999994,0.0431999999999999,0.4586,-0.0528,0.051,29.64646,1.51196946,-0.5172231997656253,-1.4207504388867525,1.5402680586421473,-2.282355443457466
4241976,-0.4044,-3.4533,9.9078,-0.0223,-0.4792,0.0625,52.477814,-1.47195,6.08,28.501,27.202,10.500158145951898,0.4837728599249859,0.7198553628065838,0.4748263522264479,-0.2208999999999999,-3.1171,0.1349999999999998,-0.0261,-0.4724,0.0669,0.049,19.54481999999999,0.9576961799999996,0.8517753818721604,0.4377906714665434,2.392043440514308,-1.8445647719909228
4242027,-0.1922,-0.4411,9.8199,-0.0008,0.0004,-0.0082,52.402363,-1.558198,2.18,0.036,249.996,9.83168073423868,0.0082486362509205,-0.6684774117132193,-0.4755242236740654,0.2121999999999999,3.0122,-0.0878999999999994,0.0215,0.4796,-0.0707,0.051,14.817019999999996,0.7556680199999998,-0.25850325790638284,-0.7100776169564185,2.133540182607925,-2.5546423889473413
4242076,-0.3801,-3.1756,9.5443,-0.0347,-0.4861,0.0445,52.477814,-1.47195,6.08,28.512,26.199,10.0659114768609,0.4893644347518524,0.2342307426222216,0.4811157985009318,-0.1878999999999999,-2.7345,-0.2756000000000007,-0.0339,-0.4865,0.0527,0.049,21.57774999999999,1.0573097499999997,0.9486881697255825,0.4667918851777377,3.082228352333508,-2.087850503769604
4242127,-0.1864,-0.5227,9.8628,0.0101,0.0025,0.0,52.402363,-1.558198,2.18,0.036,249.996,9.878399874979753,0.0104048065815756,-0.1875116018811482,-0.4789596281702767,0.1936999999999999,2.6529000000000003,0.3185000000000002,0.0448,0.4886,-0.0445,0.051,24.78022,1.2637912199999999,-0.432324961539966,-1.1875451045659509,2.6499033907935416,-3.275395608335555
4242176,-0.3699,-2.9347,9.7456,-0.0284,-0.4841,0.0402,52.477814,-1.47195,6.08,28.613000000000003,25.733,10.184596676353951,0.4865957356985365,0.3061968013742007,0.4761909291169608,-0.1835,-2.412,-0.1172000000000004,-0.0385,-0.4866,0.0402,0.049,18.47191999999999,0.9051240799999996,0.8153603020972131,0.3929849589485417,3.4652636928907548,-2.882410649387013
4242227,-0.2003,-0.2681,9.8549,-0.0044,0.0167,-0.0029,52.402363,-1.558198,2.18,0.018,249.996,9.86058069841731,0.0175117103676368,-0.3240159779366429,-0.4690840253308996,0.1696,2.6666,0.109300000000001,0.024,0.5008,-0.0431,0.051,22.82956,1.16430756,-0.3982930195524635,-1.0940634190251195,3.0669706733382913,-3.9764740684121325
4242275,-0.4379,-2.7883,9.6778,-0.045,-0.5072,0.0206,52.477814,-1.47195,6.08,27.781,24.227,10.080981407581309,0.5096088696245387,0.2204007091639965,0.4920971592569018,-0.2376,-2.5202,-0.1771000000000011,-0.0406,-0.5239,0.0235,0.048,18.744339999999994,0.8997283199999997,0.8204864066179107,0.36920604865745404,3.887457079956202,-3.6072680197546783
4242327,-0.1464,-0.4129,9.7893,-0.0008,0.0148,0.0101,52.402363,-1.558198,2.18,0.025,249.996,9.799097604371536,0.0179357185526535,-0.2818838032097694,-0.4916731510718851,0.2915,2.3754,0.1115000000000012,0.0441999999999999,0.522,-0.0105,0.052,28.649169999999998,1.4897568399999999,-0.509624579095352,-1.3998779342173626,3.3778325008608503,-5.00714595397204
4242376,-0.8733,-2.8965,9.8961,-0.0437,-0.4885,0.0579,52.477814,-1.47195,6.08,27.569000000000003,25.107,10.34819599495487,0.4938566087438741,0.5490983905833318,0.4759208901912206,-0.7269,-2.4836,0.1067999999999997,-0.0429,-0.5033,0.0478,0.049,18.829359999999994,0.9226386399999997,0.8354649424838103,0.39148485271025824,4.21329744334466,-4.615661101261782
4242427,-0.2721,-0.5237,9.8529,-0.0049,0.0086,-0.0086,52.402363,-1.558198,2.18,0.068,249.996,9.870559179195473,0.0131122080520406,-0.4776368157593964,-0.4807444006918335,0.6012,2.3728,-0.0432000000000005,0.0388,0.4971,-0.0665,0.051,21.67533999999999,1.1054423399999995,-0.3781560668898696,-1.0387496118598838,3.835141376454791,-5.654410713121666
4242475,-0.5857,-2.7678,9.5003,-0.0553,-0.4991,0.0264,52.477814,-1.47195,6.08,26.773000000000003,25.052,9.912591054815085,0.5028477503181256,0.0420318756196103,0.4897355422660849,-0.3136,-2.2440999999999995,-0.3526000000000007,-0.0504,-0.5077,0.035,0.048,19.33290999999999,0.9279796799999996,0.8406789315407248,0.39294429701478945,4.675820307995516,-5.2614664161068765
4242528,-0.1756,-0.2173,9.9023,-0.0069,0.0062,0.0072,52.402363,-1.558198,2.18,0.0139999999999999,249.996,9.90624045438026,0.01174265728019,-0.006350600434823,-0.4911050930379355,0.4101,2.5505,0.402000000000001,0.0484,0.5053,-0.0192,0.053,26.999710000000004,1.4309846300000002,-0.48951944382793916,-1.3446515256417266,4.186300864167577,-6.606117941748603
4242575,0.0167,-2.6486,9.5537,-0.0825,-0.4981,0.0637,52.477814,-1.47195,6.08,26.582,22.709,9.914057924987125,0.5088885437893056,0.0078174706068629,0.4971458865091155,0.1923,-2.4313,-0.3486000000000011,-0.0756,-0.5043,0.0565,0.047,17.894889999999993,0.8410598299999997,0.7758587357669724,0.3246919459637147,4.962159599934549,-6.281425995784888
4242628,-0.1931,-0.3536,9.8455,0.0071,-0.0013,-0.0162,52.402363,-1.558198,2.18,0.068,249.996,9.85373994075346,0.0177352755828602,-0.0603179842336629,-0.4911532682064453,-0.2098,2.295,0.2918000000000003,0.0896,0.4967999999999999,-0.0799,0.053,27.527429999999985,1.4589537899999991,-0.49908729477511116,-1.3709332710053481,4.463072305159438,-7.652359266790236
4242675,-0.2779,-2.6924,9.6366,-0.0895,-0.5057,0.0615,52.477814,-1.47195,6.08,25.438,23.82,10.009510763768626,0.5172281798200867,0.1557708230151657,0.4994929042372265,-0.0847999999999999,-2.3388,-0.2088999999999998,-0.0965999999999999,-0.5044000000000001,0.0776999999999999,0.047,18.57111,0.8728421700000001,0.7984923813601069,0.3525101000541326,5.261564686519544,-7.299849166736103
4242727,-0.1899,-0.3703,9.8139,0.0025,-0.0081,0.0019,52.402363,-1.558198,2.18,0.05,249.996,9.822719445754318,0.008687347120957,-0.1867913180143077,-0.5085408326991298,0.0879999999999999,2.3221000000000003,0.1773000000000006,0.092,0.4976,-0.0596,0.052,29.482730000000007,1.5331019600000002,-0.5244523267805632,-1.440607988555629,4.7371123597389815,-8.740457155291733
