timestamp_ms,ax,ay,az,gyro_yaw,gyro_pitch,gyro_roll,gps_lat,gps_lon,gps_speed,vehicle_speed,vehicle_heading,accel_magnitude,gyro_magnitude,accel_change,gyro_change,ax_change,ay_change,az_change,gyro_yaw_change,gyro_pitch_change,gyro_roll_change,dt,predicted_speed,predicted_speed_mps,distance,dx,dy,predicted_x,predicted_y,gps_x,gps_y,position_error,gps_step_distance,distance_travelled,drift_percent,speed_mps,dr_x,dr_y,corrected_x,corrected_y,corrected_error,time_rel_sec,eval_gps_step_dist_m,eval_gps_cum_dist_m,eval_dr_step_dist_m,eval_dr_cum_dist_m,eval_corr_cum_dist_m,eval_raw_position_error_m,eval_calibrated_position_error_m,eval_raw_drift_pct,eval_calibrated_drift_pct,eval_raw_drift_pct_dr_dist,eval_calibrated_drift_pct_dr_dist
6113675,-2.9797,-1.2562,10.7802,-0.0475,-0.3305,0.1286,52.412903,-1.530007,6.09,21.355,206.424,11.254748445434045,0.3578050586562465,1.8033215817271664,-0.0457726661998213,-0.6928999999999998,-1.6146,1.6166,0.0085999999999999,0.0691,0.1354999999999999,0.1,29.44515,8.179208333333333,0.8179208333333334,-0.3639832240704633,-0.7324689086889391,-154.7581812776104,28.238221661685152,-155.04968125943665,39.91897866574205,0.0,0.0,41110102.11648876,0.0036306890604528,8.179208333333333,-155.04968125943665,39.91897866574205,-155.04968125943665,39.91897866574205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6113775,-2.9208,-0.4595,8.9322,-0.0913,-0.4043,0.0124,52.412903,-1.530007,6.09,22.118,207.668,9.408847417723385,0.4146660584132731,-1.8459010277106584,0.0568609997570265,0.0588999999999999,0.7967,-1.8480000000000008,-0.0438,-0.0737999999999999,-0.1162,0.1,25.59213,7.108925,0.7108925,-0.330101138199905,-0.6296041495379278,-155.08828241581028,27.608617512147223,-155.04968125943665,39.91897866574205,0.7108924999999928,0.0,41110102.11648876,0.003628992764333,7.108925,-155.37978239763655,39.28937451620413,-155.27498353645146,39.55675529635586,0.4265757674288851,0.1,0.0,0.0,0.7108924999999928,0.7108924999999928,0.4265757674288851,0.7108924999999928,0.4265757674288851,0.0,0.0,100.0,60.005664348532214
6113875,-3.5331,-0.2984,9.4126,-0.0814,-0.3992,0.0554,52.412903,-1.530007,6.09,21.553,207.427,10.058274053235971,0.4111639089219772,0.6494266355125866,-0.0035021494912958,-0.6123000000000003,0.1611,0.4803999999999995,0.0099,0.0050999999999999,0.043,0.1,26.83637,7.454547222222223,0.7454547222222223,-0.3433699428661048,-0.6616644355105831,-155.4316523586764,26.94695307663664,-155.04968125943665,39.91897866574205,1.4563440032373445,0.0,41110102.11648876,0.0036272125639398,7.454547222222223,-155.72315234050265,38.62771008069355,-155.50963981619054,39.1759309379855,0.8738888943425815,0.2,0.0,0.0,0.7454547222222199,1.4563472222222127,0.8738908259158367,1.4563440032373445,0.8738888943425815,0.0,0.0,99.99977896858529,60.00553171716364
6113975,-2.8831,-0.2395,9.4405,-0.0633,-0.4658,0.0107,52.412903,-1.530007,6.09,21.946,208.1,9.873837456126164,0.470203168853635,-0.1844365971098067,0.0590392599316577,0.6499999999999999,0.0589,0.0279000000000007,0.0181,-0.0665999999999999,-0.0447,0.1,21.305840000000007,5.918288888888891,0.5918288888888891,-0.2787584383155488,-0.5220681629742743,-155.71041079699194,26.424884913662364,-155.04968125943665,39.91897866574205,2.048153123990351,0.0,41110102.11648876,0.0036258025729283,5.918288888888891,-156.0019107788182,38.10564191771928,-155.6994757402462,38.87579722239151,1.2290078889256355,0.3,0.0,0.0,0.5918288888888804,2.048176111111093,1.2290216825001705,2.0481531239903443,1.2290078889256508,0.0,0.0,99.99887767850508,60.004990892064434
6114076,-2.7013,-0.6286,10.033,-0.0449,-0.4479,0.1089,52.412903,-1.530007,6.09,21.028,206.691,10.409286654233323,0.4631302516571337,0.535449198107159,-0.0070729171965012,0.1818000000000004,-0.3891,0.5924999999999994,0.0183999999999999,0.0178999999999999,0.0982,0.101,20.234260000000003,5.620627777777778,0.5676834055555556,-0.2549912729011107,-0.5071921723443933,-155.96540206989306,25.91769274131797,-155.04968125943665,39.91897866574205,2.6157669069662988,0.0,41110102.11648876,0.0036244436806259,5.620627777777778,-156.25690205171932,37.59844974537488,-155.87443270646847,38.58351795928564,1.5696083103341818,0.401,0.0,0.0,0.5676834055555701,2.615859516666663,1.5696638814001371,2.6157669069662988,1.5696083103341818,0.0,0.0,99.99645968371871,60.00353995822765
6114176,-3.2593,-0.6509,9.2272,-0.063,-0.4694,0.0746,52.412903,-1.530007,6.09,21.42,207.041,9.8075443990838,0.4794481410955725,-0.6017422551495244,0.0163178894384387,-0.5580000000000003,-0.0222999999999999,-0.8057999999999996,-0.0180999999999999,-0.0214999999999999,-0.0343,0.1,20.37222000000001,5.658950000000002,0.5658950000000001,-0.2572716975431973,-0.5040321663031455,-156.22267376743625,25.413660575014827,-155.04968125943665,39.91897866574205,3.181647935439836,0.0,41110102.11648876,0.0036230906067613,5.658950000000002,-156.5141737492625,37.09441757907173,-156.0506150383131,38.29323029409766,1.909168980892026,0.501,0.0,0.0,0.5658949999999981,3.181754516666661,1.9092329356652542,3.1816479354398357,1.909168980892026,0.0,0.0,99.99665023727421,60.0036543011543
6114276,-2.9852,-0.7446,9.4543,-0.0298,-0.4352,0.0999,52.412903,-1.530007,6.09,21.395,206.057,9.942315459187563,0.447512111567944,0.1347710601037643,-0.0319360295276284,0.2741000000000002,-0.0937,0.2271,0.0332,0.0342,0.0253,0.1,21.51563,5.976563888888889,0.597656388888889,-0.2625295838034512,-0.5369090954786421,-156.4852033512397,24.876751479536185,-155.04968125943665,39.91897866574205,3.779164858573846,0.0,41110102.11648876,0.0036216572279112,5.976563888888889,-156.77670333306597,36.55750848359309,-156.2313933652446,37.98349974319711,2.2677129802135,0.601,0.0,0.0,0.5976563888888906,3.779410905555552,2.2678606223394824,3.779164858573846,2.2677129802135,0.0,0.0,99.99348980600801,60.00175786337684
6114376,-3.5047,-0.7588,9.7429,-0.085,-0.4903,0.0584,52.412903,-1.530007,6.09,21.308000000000003,205.952,10.381849543313562,0.5010285919985006,0.4395340841259987,0.0535164804305565,-0.5195000000000003,-0.0141999999999999,0.2886000000000006,-0.0552,-0.0551,-0.0415,0.1,22.12636,6.146211111111111,0.6146211111111111,-0.2689692743736965,-0.5526433204756427,-156.7541726256134,24.324108159060543,-155.04968125943665,39.91897866574205,4.393662023043094,0.0,41110102.11648876,0.0036201827236428,6.146211111111111,-157.04567260743966,36.004865163117444,-156.41671912468,37.66463720087941,2.6364460861561656,0.701,0.0,0.0,0.6146211111111104,4.394032016666662,2.6366681032880215,4.393662023043094,2.636446086156151,0.0,0.0,99.99157963296204,60.0006116513501
6114475,-3.5153,0.0685,9.6353,-0.0682,-0.4515,0.057,52.412903,-1.530007,6.09,21.478,206.479,10.256755453358531,0.4601657201487308,-0.125094089955029,-0.0408628718497697,-0.0105999999999997,0.8273,-0.1075999999999997,0.0168,0.0388,-0.0013999999999999,0.099,22.33993999999999,6.205538888888887,0.6143483499999998,-0.2739193590942945,-0.5499018820308702,-157.0280919847077,23.774206277029677,-155.04968125943665,39.91897866574205,5.007986418974774,0.0,41110102.11648876,0.0036187112258552,6.205538888888887,-157.31959196653395,35.45496328108657,-156.6048863211734,37.34763347226759,3.0050755211900846,0.8,0.0,0.0,0.614348350000002,5.008380366666664,3.0053119121197898,5.007986418974774,3.0050755211900846,0.0,0.0,99.99213422976993,60.0009444408496
6114575,-2.9138,0.2278,10.117,-0.0449,-0.4804,0.0137,52.412903,-1.530007,6.09,21.704,205.808,10.53070806166423,0.4826881602028374,0.2739526083056969,0.0225224400541065,0.6014999999999997,0.1593,0.4817,0.0232999999999999,-0.0288999999999999,-0.0433,0.1,20.815869999999983,5.782186111111107,0.5782186111111107,-0.2517314061675832,-0.5205459262967611,-157.27982339087526,23.25366035073291,-155.04968125943665,39.91897866574205,5.586101539538366,0.0,41110102.11648876,0.0036173235046156,5.782186111111107,-157.57132337270153,34.93441735478981,-156.77848121618328,37.047219135886486,3.351977339983581,0.9,0.0,0.0,0.5782186111111098,5.586598977777774,3.3522758311038623,5.586101539538366,3.351977339983581,0.0,0.0,99.99109586635113,60.0003213639817
