timestamp_ms,ax,ay,az,gyro_yaw,gyro_pitch,gyro_roll,gps_lat,gps_lon,gps_speed,vehicle_speed,vehicle_heading,accel_magnitude,gyro_magnitude,accel_change,gyro_change,ax_change,ay_change,az_change,gyro_yaw_change,gyro_pitch_change,gyro_roll_change,dt,predicted_speed,gps_x,gps_y,phase,gnss_available,ins_heading_rad,ins_speed_mps,ins_x,ins_y,dr_x,dr_y,corrected_x,corrected_y,dr_source_speed_col
4858375,0.2967,1.0155,9.7335,-0.0144,0.0443,-0.0039,52.46251,-1.399732,21.49,77.738,224.281,9.790827002352762,0.0467446253594998,-0.791916379209507,0.0051501545731081,0.0415,0.6693,-0.8405000000000005,0.0044,0.0448,0.0332,0.098,36.17097,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.9152447511213198,21.573055555555555,4890.988357974459,-1701.7271573681971,4890.988357974459,-1701.7271573681971,4890.988357974459,-1701.7271573681971,predicted_speed
4858476,1.4412,-0.2274,9.5143,-0.0122,0.012,0.0074,52.46251,-1.399732,21.49,77.634,224.016,9.625521943770115,0.0186440338982742,-0.1653050585826463,-0.0281005914612256,1.1445,-1.2429,-0.2191999999999989,0.0021999999999999,-0.0322999999999999,0.0113,0.101,19.908940000000005,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.91392973112132,21.674380270555556,4889.460770930486,-1703.2951787184968,4889.460770930486,-1703.2951787184968,4889.460770930486,-1703.2951787184968,predicted_speed
4858575,0.3717,0.6258,10.2534,-0.013,0.0297,0.0241,52.46251,-1.399732,21.49,77.738,223.808,10.27920221077492,0.0403967820500593,0.6536802670048036,0.0217527481517851,-1.0695,0.8532,0.7390999999999988,-0.0007999999999999,0.0177,0.0167,0.099,39.49764999999997,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.91256155112132,21.667818055555557,4887.9659900916595,-1704.833731370584,4887.9659900916595,-1704.833731370584,4887.9659900916595,-1704.833731370584,predicted_speed
4858675,0.2121,-0.0097,10.353,0.002,0.0184,0.0039,52.46251,-1.399732,21.49,77.814,223.614,10.355176941993795,0.0189148090130458,0.0759747312188778,-0.0214819730370135,-0.1595999999999999,-0.6355000000000001,0.0996000000000005,0.015,-0.0113,-0.0202,0.1,39.89163999999999,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.91267955112132,21.645229555555556,4886.457501310674,-1706.3860268394847,4886.457501310674,-1706.3860268394847,4886.457501310674,-1706.3860268394847,predicted_speed
4858775,1.1198,0.2981,9.2354,-0.0419,0.0079,-0.0105,52.46251,-1.399732,21.49,77.688,223.424,9.307815469270972,0.043912071233318,-1.0473614727228249,0.0249972622202722,0.9077,0.3077999999999999,-1.1175999999999997,-0.0439,-0.0104999999999999,-0.0144,0.1,36.82415000000001,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.90840755112132,21.713411055555557,4884.950926940773,-1707.9496623035975,4884.950926940773,-1707.9496623035975,4884.950926940773,-1707.9496623035975,predicted_speed
4858875,0.232,0.5377,9.9741,0.0046,0.0191,-0.0155,52.46251,-1.399732,21.49,77.735,223.198,9.991277000463954,0.0250243881044072,0.6834615311929824,-0.0188876831289107,-0.8877999999999999,0.2395999999999999,0.7386999999999997,0.0465,0.0111999999999999,-0.0049999999999999,0.1,22.765830000000005,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.90878555112132,21.69281255555556,4883.445191401729,-1709.5112453632414,4883.445191401729,-1709.5112453632414,4883.445191401729,-1709.5112453632414,predicted_speed
4858976,0.5431,1.1526,10.4627,0.0078,0.1129,0.0649,52.46251,-1.399732,21.49,77.656,222.929,10.539996947817396,0.1304578859249221,0.5487199473534403,0.1054334978205148,0.3111,0.6149000000000001,0.4885999999999999,0.0031999999999999,0.0938,0.0804,0.101,39.79748000000001,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.90949053112132,21.70342917055556,4881.922542160909,-1711.0881431003925,4881.922542160909,-1711.0881431003925,4881.922542160909,-1711.0881431003925,predicted_speed
4859075,0.6712,-0.0329,9.4529,0.015,0.0635,0.028,52.46251,-1.399732,21.49,77.666,222.679,9.47675631532224,0.0710017605415527,-1.0632406324951535,-0.0594561253833693,0.1281,-1.1855,-1.0098000000000005,0.0072,-0.0494,-0.0369,0.099,40.828680000000006,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.9108943511213203,21.72651745555556,4880.426285978197,-1712.6333604872261,4880.426285978197,-1712.6333604872261,4880.426285978197,-1712.6333604872261,predicted_speed
4859175,0.5282,0.792,8.8901,0.039,0.1636,0.1098,52.46251,-1.399732,21.49,77.544,222.377,8.940924854286608,0.2008531802088281,-0.5358314610356327,0.1298514196672753,-0.143,0.8249000000000001,-0.5627999999999993,0.024,0.1001,0.0818,0.1,41.79675,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.91471235112132,21.73553895555556,4878.908337858682,-1714.189050058878,4878.908337858682,-1714.189050058878,4878.908337858682,-1714.189050058878,predicted_speed
4859275,1.3662,0.2299,8.9091,0.0313,0.1093,0.0715,52.46251,-1.399732,21.49,77.616,222.093,9.016175423093763,0.134307222441684,0.0752505688071547,-0.066545957767144,0.8380000000000001,-0.5621,0.0190000000000001,-0.0076999999999999,-0.0543,-0.0383,0.1,34.998119999999986,4890.988357974459,-1701.7271573681971,GNSS_OUTAGE,False,3.9177603511213204,21.828360455555558,4877.3791524472235,-1715.7467294800554,4877.3791524472235,-1715.7467294800554,4877.3791524472235,-1715.7467294800554,predicted_speed
